Track_num,Section_id,Curve_degree,Curve_direction,Cant,Max_speed,length,Section,Track_id,Start_loc,End_loc,Track_segment
1,438,0,,,,130.691,GC,GC_1,6891.04,7021.731,26
7,456,0,,,,40.032,STA_SS,STA_SS_7,387.395,427.427,2
7,457,0,,,,10.666,STA_SS,STA_SS_7,427.427,438.093,3
7,458,0,,,,21.173,STA_SS,STA_SS_7,438.093,459.266,4
7,459,0,,,,10.712,STA_SS,STA_SS_7,459.266,469.978,5
3,735,0,,,,130.327,MN,MN_3,11790.642,11920.969,28
9,792,0,,,,9.228,STA_SS,STA_SS_9,378.09,387.318,2
9,793,0,,,,235.097,STA_SS,STA_SS_9,142.993,378.09,1
9,794,0,,,,142.993,STA_SS,STA_SS_9,0,142.993,0
7,797,0,,,,146.783,STA_SS,STA_SS_7,0,146.783,0
7,798,0,,,,240.612,STA_SS,STA_SS_7,146.783,387.395,1
1,832,0,,,,312.564,NWK,NWK_1,3512.634,3825.198,12
1,840,0,,,,304.317,FDT,FDT_1,4382.595,4686.912,6
1,841,0,,,,1170.552,FDT,FDT_1,3212.043,4382.595,5
6,872,0,,,,417.03,WA,WA_6,2367.338,2784.368,12
7,884,2,1,7,,256.867,WA,WA_7,931.845,1188.712,4
6,901,2.15,1,7,,439.584,WA,WA_6,1179.92,1619.504,5
6,902,0,,,,699.817,WA,WA_6,2784.368,3484.185,13
4,925,0,,,,211.02,FJB,FJB_4,545.479,756.499,1
3,926,0,,,,210.061,FJB,FJB_3,550.119,760.18,2
2,927,0,,,,209.513,FJB,FJB_2,553.109,762.622,2
1,928,0,,,,207.997,FJB,FJB_1,556.481,764.478,2
1,929,1.25,1,7,,496.559,MIR,MIR_1,0,496.559,0
1,930,1.25,1,7,,367.256,MIR,MIR_1,496.559,863.815,1
2,931,1.25,1,7,,864.092,MIR,MIR_2,0,864.092,0
1,934,0.87,1,7,,526.422,MIR,MIR_1,2912.911,3439.333,3
1,935,0.87,1,7,,11.007,MIR,MIR_1,3439.333,3450.34,4
2,936,0.87,1,7,,528.579,MIR,MIR_2,2911.971,3440.55,2
2,937,0.87,1,7,,8.857,MIR,MIR_2,3440.55,3449.407,3
1,939,0,,,,2049.096,MIR,MIR_1,863.815,2912.911,2
2,940,0,,,,2047.879,MIR,MIR_2,864.092,2911.971,1
1,942,0,,,,200.012,MIL,MIL_1,7903.215,8103.227,5
1,943,0,,,,225.613,MIL,MIL_1,8103.227,8328.84,6
2,944,0,,,,200.012,MIL,MIL_2,7916.753,8116.765,5
2,945,0,,,,302.917,MIL,MIL_2,8116.765,8419.682,6
1,970,0.73,1,7,,961.297,DAR,DAR_1,2693.494,3654.791,4
2,971,0.73,1,7,,1.454,DAR,DAR_2,3656.05,3657.504,6
2,972,0.73,1,7,,961.297,DAR,DAR_2,2694.753,3656.05,5
2,973,0,,,,1.066,DAR,DAR_2,2693.687,2694.753,4
1,974,0.73,1,7,,1167.027,DAR,DAR_1,3902.206,5069.233,6
2,975,0.73,1,7,,1168.112,DAR,DAR_2,3903.835,5071.947,8
1,976,0.52,1,7,,667.106,DAR,DAR_1,5377.282,6044.388,8
1,977,0,,,,308.049,DAR,DAR_1,5069.233,5377.282,7
2,978,0.51,1,7,,667.106,DAR,DAR_2,5376.297,6043.403,10
2,979,0,,,,304.35,DAR,DAR_2,5071.947,5376.297,9
1,980,0,,,,402.811,DAR,DAR_1,6044.388,6447.199,9
1,981,0.52,1,7,,890.965,DAR,DAR_1,6623.8,7514.765,11
1,982,0,,,,176.601,DAR,DAR_1,6447.199,6623.8,10
2,983,0.52,1,7,,890.965,DAR,DAR_2,6622.882,7513.847,14
2,984,0,,,,402.811,DAR,DAR_2,6043.678,6446.489,12
2,985,0,,,,0.275,DAR,DAR_2,6043.403,6043.678,11
2,986,0,,,,176.393,DAR,DAR_2,6446.489,6622.882,13
1,987,0.73,1,7,,1088.32,DAR,DAR_1,7514.765,8603.085,12
2,988,0.73,1,7,,1088.32,DAR,DAR_2,7514.742,8603.062,16
2,989,0,,,,0.895,DAR,DAR_2,7513.847,7514.742,15
